date_time,c31,c31bad,c11,c11bad,c43,c43bad,c13,c13bad,c41,c41bad,c33,c33bad,c23,c23bad,c21,c21bad
2020-06-23 12:00:00,1962,3.57,1350,4.74,853,7.74,1127,3.02,1541,4.02,1999,1.05,524,0.57,649,2.62
2020-06-23 13:00:00,1929,3.11,1263,5.15,815,7.12,1072,4.2,1467,5.04,2004,1.2,469,1.28,711,4.22
2020-06-23 14:00:00,2153,3.53,1270,4.88,636,10.69,969,4.64,1490,5.64,2022,1.04,454,1.76,646,4.18
2020-06-23 15:00:00,2266,3.66,1172,5.63,633,7.42,905,6.41,1444,4.16,1870,1.66,483,1.04,613,4.24
2020-06-23 16:00:00,2713,3.5,1219,5.82,959,7.92,1316,5.4,1490,4.9,1730,0.92,547,0.73,591,5.41
2020-06-23 17:00:00,2756,2.61,1135,6.52,1233,6.65,1364,3.74,1520,4.34,1638,1.95,597,1.01,697,4.16
2020-06-23 18:00:00,2938,3.13,1061,7.07,1197,7.18,1483,3.51,1498,3.94,1628,1.97,542,1.29,637,4.71
2020-06-23 19:00:00,2713,2.06,1015,5.02,1311,7.4,1501,3.33,1358,5.15,1573,1.53,533,1.31,670,4.63
2020-06-23 20:00:00,2136,3.28,1066,4.88,1109,5.95,845,5.68,1231,4.87,1411,1.06,471,1.27,620,2.74
2020-06-23 21:00:00,1280,6.02,909,3.74,571,12.43,152,17.11,1021,4.41,1187,1.1,364,1.65,504,3.57
2020-06-23 22:00:00,564,8.69,453,8.17,171,16.37,72,16.67,555,5.41,825,1.58,248,0.81,325,6.15
2020-06-23 23:00:00,521,7.87,249,8.03,211,9.95,69,8.7,319,4.08,620,1.29,166,3.61,271,6.27
2020-06-24 00:00:00,421,9.74,192,10.42,205,8.78,60,16.67,204,6.86,422,1.9,133,0,137,2.92
2020-06-24 01:00:00,257,10.89,157,7.64,165,12.73,40,20,156,3.85,319,2.82,83,1.2,93,7.53
2020-06-24 02:00:00,156,3.21,86,4.65,113,7.96,20,5,106,8.49,217,3.23,49,4.08,67,10.45
2020-06-24 03:00:00,169,2.96,85,1.18,95,8.42,25,4,91,3.3,177,2.26,33,3.03,55,1.82
2020-06-24 04:00:00,176,6.82,148,2.03,95,9.47,30,20,137,2.19,217,0.92,32,3.12,75,2.67
2020-06-24 05:00:00,207,1.93,191,4.19,114,3.51,38,7.89,180,6.67,254,0.39,55,0,57,1.75
2020-06-24 06:00:00,341,4.4,462,2.6,280,7.86,148,7.43,465,3.44,615,0.98,148,2.03,161,0.62
2020-06-24 07:00:00,670,2.39,891,3.14,558,5.91,412,2.43,999,3.8,1247,1.12,269,0.37,317,2.84
2020-06-24 08:00:00,968,3.1,853,3.17,616,6.17,550,3.64,1050,2.76,1201,1,373,1.07,370,4.32
2020-06-24 09:00:00,1069,3.09,1139,4.83,707,3.96,673,3.27,1167,3.86,1432,0.98,400,0.25,393,3.31
2020-06-24 10:00:00,1214,3.46,1093,3.84,717,7.67,749,4.54,1081,3.79,1358,1.55,372,1.61,393,4.07
2020-06-24 11:00:00,1332,4.43,1172,3.24,651,8.76,847,3.78,1204,4.4,1401,1.43,388,0.77,454,3.52
2020-06-24 12:00:00,1580,3.99,1171,4.18,558,8.24,906,3.97,1216,4.61,1468,1.16,432,0.46,394,3.81
2020-06-24 13:00:00,1643,2.31,1221,5.57,775,8.26,925,2.7,1191,4.2,1526,1.64,395,2.03,401,2.24
2020-06-24 14:00:00,1870,3.53,1264,6.33,912,6.69,1077,3.34,1224,5.8,1548,1.23,432,0.46,427,2.11
2020-06-24 15:00:00,1798,2.95,1208,4.64,1129,4.78,977,5.42,1282,5.77,1585,1.58,414,1.21,409,4.4
2020-06-24 16:00:00,1989,3.72,1157,6.57,1100,3.36,1122,4.9,1197,4.43,1471,0.82,379,2.37,413,2.42
2020-06-24 17:00:00,1966,4.43,1089,6.34,1050,5.62,1053,4.37,1276,4.62,1554,1.74,413,0.24,408,4.66
2020-06-24 18:00:00,1869,3.64,1062,7.82,1023,4.4,1103,5.71,1177,5.95,1535,1.56,409,0.73,402,3.48
2020-06-24 19:00:00,1757,2.62,1042,6.43,946,8.14,1131,4.33,1023,8.21,1466,1.71,433,1.85,388,2.58
2020-06-24 20:00:00,1641,3.53,1099,5.55,998,4.41,609,6.9,1179,5.43,1364,1.17,373,1.07,363,4.41
2020-06-24 21:00:00,1317,3.11,1034,4.84,861,4.07,228,7.89,985,5.28,1251,1.68,322,0.62,374,1.87
2020-06-24 22:00:00,848,6.84,662,8.61,623,7.38,96,9.38,547,6.95,1087,2.12,212,0.94,476,4.83
2020-06-24 23:00:00,521,9.4,278,10.07,495,6.87,113,9.73,329,9.12,614,1.79,224,1.34,259,7.72
2020-06-25 00:00:00,393,10.43,242,9.92,396,7.32,64,14.06,249,8.03,493,0.81,162,1.85,177,7.34
2020-06-25 01:00:00,265,9.43,154,5.19,217,7.37,36,5.56,125,9.6,333,1.8,67,0,94,6.38
2020-06-25 02:00:00,183,7.65,73,8.22,154,8.44,33,12.12,83,10.84,170,0.59,54,0,88,2.27
2020-06-25 03:00:00,143,5.59,73,6.85,67,5.97,11,18.18,55,3.64,127,0,35,5.71,62,8.06
2020-06-25 04:00:00,125,4,143,2.1,79,6.33,18,5.56,121,5.79,178,0.56,35,2.86,44,0
2020-06-25 05:00:00,233,5.58,361,5.54,160,5,82,10.98,232,3.02,383,0.78,69,0,69,1.45
2020-06-25 06:00:00,533,5.82,1174,2.39,485,5.36,305,3.61,1049,3.62,1684,1.43,251,0.4,303,3.96
2020-06-25 07:00:00,983,3.56,1459,3.43,863,6.26,590,2.54,1922,3.9,2697,2.08,570,0.88,616,4.06
2020-06-25 08:00:00,1319,3.79,1479,5.81,160,16.88,683,3.51,1805,3.1,2676,2.17,551,1.81,463,3.24
2020-06-25 09:00:00,1516,4.55,1311,5.49,78,10.26,817,2.2,1618,3.21,2315,1.38,511,0.98,533,6.94
2020-06-25 10:00:00,1691,4.26,1275,3.14,125,14.4,863,3.13,1499,4.27,2047,1.32,464,0.86,524,4.01
2020-06-25 11:00:00,1689,4.74,1171,5.98,680,7.79,986,4.16,1489,6.45,1974,1.57,443,1.13,494,4.86
2020-06-25 12:00:00,1836,3.27,1243,5.31,948,5.59,1134,3.97,1514,5.28,1986,0.86,478,0.84,534,4.68
2020-06-25 13:00:00,1821,3.24,1339,5.75,1052,7.32,1168,3.6,1614,4.58,2160,1.25,434,2.3,514,4.09
2020-06-25 14:00:00,2120,3.35,1285,5.14,1260,6.59,1286,4.12,1566,4.85,2015,1.34,515,0.78,559,5.9
2020-06-25 15:00:00,2260,3.05,1097,5.01,1257,5.81,1271,4.01,1518,4.81,1777,1.07,529,0.95,520,3.46
2020-06-25 16:00:00,2557,4.65,1015,4.83,1471,4.76,1378,3.77,1519,4.02,1599,1.38,480,2.5,589,5.94
2020-06-25 17:00:00,2914,5.11,1101,7.08,1662,4.45,1447,3.59,1563,5.63,1702,1.59,544,1.65,659,3.64
2020-06-25 18:00:00,2842,3.13,1068,5.71,1698,4.59,1705,2.99,1567,4.85,1642,2.07,533,0.94,671,5.07
2020-06-25 19:00:00,2711,3.54,1087,6.62,1460,4.86,1011,5.24,1351,5.26,1522,1.25,526,1.33,673,4.01
2020-06-25 20:00:00,2105,3.94,1029,5.05,1269,6.23,400,11,1313,4.57,1488,1.81,490,0.2,611,1.47
2020-06-25 21:00:00,931,7.95,835,5.27,478,10.46,116,19.83,881,7.38,1045,2.3,338,2.07,440,4.55
2020-06-25 22:00:00,322,7.76,360,11.11,660,8.03,99,12.12,415,11.08,808,2.6,204,1.96,278,5.04
2020-06-25 23:00:00,347,8.07,241,9.13,360,6.11,74,5.41,223,7.17,519,0.77,134,4.48,181,5.52
2020-06-26 00:00:00,340,10.29,186,15.59,308,6.82,68,10.29,167,13.17,377,3.71,92,3.26,140,11.43
2020-06-26 01:00:00,217,7.83,88,10.23,153,7.84,26,3.85,88,7.95,232,3.02,67,7.46,74,4.05
2020-06-26 02:00:00,144,8.33,64,10.94,91,6.59,14,42.86,56,5.36,150,2.67,31,3.23,63,11.11
2020-06-26 03:00:00,88,4.55,75,1.33,71,7.04,20,25,55,1.82,129,2.33,34,5.88,46,4.35
2020-06-26 04:00:00,131,1.53,138,3.62,98,3.06,36,11.11,124,4.03,178,1.69,40,7.5,36,2.78
2020-06-26 05:00:00,224,4.02,286,4.2,144,3.47,144,2.08,244,5.33,362,0.55,46,0,25,4
2020-06-26 06:00:00,505,3.37,1129,3.19,444,5.18,249,7.23,1070,3.46,1675,1.37,263,0.76,280,4.64
2020-06-26 07:00:00,1087,3.68,1529,5.49,923,4.77,508,3.35,1868,3.64,2666,1.35,558,0.72,708,5.37
